DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
TG011,2024-12-31,Chinese operating company creation,TGCN001,TechGlobal China Co. Ltd.,TGCN001,TechGlobal China Co Ltd,Limited Company,123000011,2017-06-01,,,12-31,China,,2017-06-01,Active,TRUE,CNY,USD,USD,Chinese subsidiary for China market operations,Technology Operations,999 Pudong South Road,Shanghai,,200120,China,Shanghai,Asia Pacific,Technology,Software,Enterprise Software,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG012,2024-12-31,Indian operating company creation,TGIN001,TechGlobal India Private Limited,TGIN001,TechGlobal India Private Limited,Private Limited Company,123000012,2018-01-15,,,12-31,India,,2018-01-15,Active,TRUE,INR,USD,USD,Indian subsidiary for India market operations and shared services,Technology Operations,UB City Mall,Bangalore,,560001,India,Karnataka,Asia Pacific,Technology,Software,Enterprise Software,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG013,2024-12-31,Australian operating company creation,TGAU001,TechGlobal Australia Pty Ltd,TGAU001,TechGlobal Australia Pty Ltd,Proprietary Limited,123000013,2018-09-01,,,12-31,Australia,,2018-09-01,Active,TRUE,AUD,USD,USD,Australian subsidiary for Australia and New Zealand markets,Technology Operations,Level 45 Australia Square,Sydney,,2000,Australia,New South Wales,Asia Pacific,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG014,2024-12-31,IP holding company creation,TGIP001,TechGlobal IP Holdings Limited,TGIP001,TechGlobal IP Holdings Limited,Limited Company,123000014,2015-12-01,,,12-31,Ireland,,2015-12-01,Active,TRUE,EUR,USD,USD,Intellectual property holding company for global IP portfolio,Intellectual Property Holding,70 Sir John Rogerson's Quay,Dublin,,D02 R296,Ireland,Dublin,Europe,Technology,Intellectual Property,Patent Licensing,Medium,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG015,2024-12-31,Shared services company creation,TGSS001,TechGlobal Shared Services Pvt Ltd,TGSS001,TechGlobal Shared Services Pvt Ltd,Private Limited Company,123000015,2019-03-01,,,12-31,India,,2019-03-01,Active,TRUE,INR,USD,USD,Global shared services center for finance HR and IT operations,Business Process Services,Manyata Tech Park,Bangalore,,560045,India,Karnataka,Asia Pacific,Technology,Business Services,Shared Services,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG016,2024-12-31,R&D subsidiary creation,TGRD001,TechGlobal Research Labs Inc.,TGRD001,TechGlobal Research Labs Inc,Corporation,123000016,2016-07-01,,,12-31,USA,California,2016-07-01,Active,TRUE,USD,USD,USD,Research and development subsidiary for innovation projects,Research and Development,1 Hacker Way,Palo Alto,Santa Clara,94301,USA,California,North America,Technology,Research,Applied Research,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG017,2024-12-31,Finance subsidiary creation,TGFN001,TechGlobal Finance B.V.,TGFN001,TechGlobal Finance B.V.,B.V.,123000017,2017-01-01,,,12-31,Netherlands,,2017-01-01,Active,TRUE,EUR,USD,USD,Finance and treasury operations subsidiary,Financial Services,Strawinskylaan 3127,Amsterdam,,1077 ZX,Netherlands,North Holland,Europe,Financial Services,Corporate Finance,Treasury Operations,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG018,2024-12-31,Real estate holding company creation,TGRE001,TechGlobal Real Estate Holdings LLC,TGRE001,TechGlobal Real Estate Holdings LLC,LLC,123000018,2018-05-01,,,12-31,USA,Delaware,2018-05-01,Active,TRUE,USD,USD,USD,Real estate holding company for global property portfolio,Real Estate Holdings,1209 Orange Street,Wilmington,New Castle,19801,USA,Delaware,North America,Real Estate,Commercial Real Estate,Corporate Real Estate,Low,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG019,2024-12-31,Brazil operating company creation,TGBR001,TechGlobal Brasil Ltda.,TGBR001,TechGlobal Brasil Ltda,Ltda.,123000019,2019-10-01,,,12-31,Brazil,,2019-10-01,Active,TRUE,BRL,USD,USD,Brazilian subsidiary for Latin American market expansion,Technology Operations,Avenida Paulista 1374,São Paulo,,01310-100,Brazil,São Paulo,South America,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG020,2024-12-31,Mexico operating company creation,TGMX001,TechGlobal Mexico S.A. de C.V.,TGMX001,TechGlobal Mexico S.A. de C.V.,S.A. de C.V.,123000020,2020-02-01,,,12-31,Mexico,,2020-02-01,Active,TRUE,MXN,USD,USD,Mexican subsidiary for Mexican and Central American markets,Technology Operations,Paseo de la Reforma 296,Mexico City,,06600,Mexico,Mexico City,North America,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
