Entity Code,Entity Name,Attribute Name,Attribute Value,Value Type,Is Primary,Category,Effective Date,Comments
CBIN001,ConsumerBrands India Private Limited,Rural Reach,60%,Text,TRUE,Business,2024-12-31,Rural market penetration
CBINN001,ConsumerBrands Innovation LLC,Patents Held,5000,Number,TRUE,IP,2024-12-31,Active patent portfolio
CBINN001,ConsumerBrands Innovation LLC,Innovation Centers,28,Number,TRUE,Operational,2024-12-31,Global R&D locations
CBINN001,ConsumerBrands Innovation LLC,Scientists & Researchers,8000,Number,TRUE,Operational,2024-12-31,R&D personnel
CBSC001,ConsumerBrands Global Supply Chain Inc.,Distribution Centers,150,Number,TRUE,Operational,2024-12-31,Global distribution network
CBSC001,ConsumerBrands Global Supply Chain Inc.,Supply Chain Efficiency,98%,Text,TRUE,Operational,2024-12-31,On-time delivery rate
CBEC001,ConsumerBrands Digital Commerce LLC,E-commerce Sales,10000000000,Number,TRUE,Financial,2024-06-30,Digital channel revenue
CBEC001,ConsumerBrands Digital Commerce LLC,Digital Marketing ROI,4.5,Number,TRUE,Business,2024-12-31,Return on digital investment
CBVC001,ConsumerBrands Ventures Inc.,Portfolio Companies,25,Number,TRUE,Business,2024-12-31,Startup investments
CBVC001,ConsumerBrands Ventures Inc.,Fund Size,500000000,Number,TRUE,Financial,2024-12-31,Venture capital fund
CBIP001,ConsumerBrands IP Holdings B.V.,Trademark Portfolio,10000,Number,TRUE,IP,2024-12-31,Global trademark registrations
CBIP001,ConsumerBrands IP Holdings B.V.,Brand Valuation,100000000000,Number,TRUE,Financial,2024-12-31,Total brand portfolio value
