Entity Code,Entity Name,Attribute Name,Attribute Value,Value Type,Is Primary,Category,Effective Date,Comments
GBEU001,GlobalBeverage Europe GmbH,Employee Count,25000,Number,TRUE,Operational,2024-12-31,European employees
GBJP001,GlobalBeverage Japan K.K.,Production Volume,1200000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in Japan
GBJP001,GlobalBeverage Japan K.K.,Vending Machines,950000,Number,TRUE,Operational,2024-12-31,Vending machines in Japan
GBJP001,GlobalBeverage Japan K.K.,Product SKUs,350,Number,TRUE,Business,2024-12-31,Product variations in Japan market
GBCN001,GlobalBeverage China Limited,Production Volume,4200000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in China
GBCN001,GlobalBeverage China Limited,Market Growth Rate,12%,Text,TRUE,Business,2024-12-31,Annual volume growth rate
GBCN001,GlobalBeverage China Limited,Cities Served,400,Number,TRUE,Operational,2024-12-31,Chinese cities with distribution
GBIN001,GlobalBeverage India Private Limited,Production Volume,2100000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in India
GBIN001,GlobalBeverage India Private Limited,Distribution Outlets,2500000,Number,TRUE,Operational,2024-12-31,Retail outlets served in India
GBIN001,GlobalBeverage India Private Limited,Rural Penetration,65%,Text,TRUE,Business,2024-12-31,Rural market coverage percentage
GBSE001,GlobalBeverage Sports & Energy Inc.,Market Share Energy,25%,Text,TRUE,Business,2024-12-31,Global energy drink market share
GBSE001,GlobalBeverage Sports & Energy Inc.,Annual Volume,800000000,Number,TRUE,Operational,2024-12-31,Unit cases of sports and energy drinks
GBWE001,GlobalBeverage Water & Enhanced LLC,Market Share Water,18%,Text,TRUE,Business,2024-12-31,US bottled water market share
GBWE001,GlobalBeverage Water & Enhanced LLC,Annual Volume,1200000000,Number,TRUE,Operational,2024-12-31,Unit cases of water and enhanced beverages
GBFS001,GlobalBeverage Fountain Systems LLC,Fountain Accounts,1000000,Number,TRUE,Business,2024-12-31,Restaurant and foodservice accounts
GBFS001,GlobalBeverage Fountain Systems LLC,Fountain Volume,2000000000,Number,TRUE,Operational,2024-12-31,Gallons of fountain syrup annually
GBFS001,GlobalBeverage Fountain Systems LLC,QSR Partnerships,50,Number,TRUE,Business,2024-12-31,Quick service restaurant chains
GBSC001,GlobalBeverage Supply Chain Services LLC,Supplier Network,3500,Number,TRUE,Operational,2024-12-31,Global supplier relationships
GBSC001,GlobalBeverage Supply Chain Services LLC,Sustainability Score,85,Number,TRUE,Business,2024-12-31,Supplier sustainability scorecard
GBIS001,GlobalBeverage Ingredient Sourcing Corp,Sugar Volume,3500000,Number,TRUE,Operational,2024-12-31,Tons of sugar and sweeteners annually
GBIS001,GlobalBeverage Ingredient Sourcing Corp,Flavor Suppliers,125,Number,TRUE,Operational,2024-12-31,Natural and artificial flavor suppliers
GBII001,GlobalBeverage Bottling Investments Inc.,Investment Portfolio,35000000000,Number,TRUE,Financial,2024-12-31,Strategic bottling partner investments
GBII001,GlobalBeverage Bottling Investments Inc.,Bottling Partner Stakes,45,Number,TRUE,Business,2024-12-31,Equity stakes in bottling partners
GBIV001,GlobalBeverage Innovation & Ventures LLC,Startup Investments,85,Number,TRUE,Business,2024-12-31,Venture capital portfolio companies
GBIV001,GlobalBeverage Innovation & Ventures LLC,Innovation Centers,15,Number,TRUE,Operational,2024-12-31,Global innovation facilities
GBIP001,GlobalBeverage IP Holdings S.à r.l.,Trademark Portfolio,3500,Number,TRUE,IP,2024-12-31,Global trademark registrations
GBIP001,GlobalBeverage IP Holdings S.à r.l.,Patent Portfolio,850,Number,TRUE,IP,2024-12-31,Active beverage technology patents
GBIP001,GlobalBeverage IP Holdings S.à r.l.,Brand Valuation,85000000000,Number,TRUE,Financial,2024-12-31,Total brand portfolio value
